Test,Client,Metric,Phase,Value
BigBlock,Nethermind - Lighthouse,Max Net TX MB/s,Phase 2,76.25
BigBlock,Besu - Lighthouse,Max RAM GB,Phase 1,9.28
BigBlock,Equalweight - Lighthouse,Max RAM GB,Phase 1,5.72
BigBlock,Geth - Lighthouse,Max RAM GB,Phase 1,1.76
BigBlock,Mainnet - Lighthouse,Max RAM GB,Phase 1,4.96
BigBlock,Nethermind - Lighthouse,Max RAM GB,Phase 1,7.46
BigBlock,Besu - Lighthouse,Max RAM GB,Phase 2,14.40
BigBlock,Equalweight - Lighthouse,Max RAM GB,Phase 2,11.17
BigBlock,Geth - Lighthouse,Max RAM GB,Phase 2,7.48
BigBlock,Mainnet - Lighthouse,Max RAM GB,Phase 2,10.13
BigBlock,Nethermind - Lighthouse,Max RAM GB,Phase 2,11.25
BigBlock,Besu - Lighthouse,Max RAM GB per node,Phase 1,0.7735
BigBlock,Equalweight - Lighthouse,Max RAM GB per node,Phase 1,0.4770
BigBlock,Geth - Lighthouse,Max RAM GB per node,Phase 1,0.1468
BigBlock,Mainnet - Lighthouse,Max RAM GB per node,Phase 1,0.4140
BigBlock,Nethermind - Lighthouse,Max RAM GB per node,Phase 1,0.6218
BigBlock,Besu - Lighthouse,Max RAM GB per node,Phase 2,1.20
BigBlock,Equalweight - Lighthouse,Max RAM GB per node,Phase 2,0.9311
BigBlock,Geth - Lighthouse,Max RAM GB per node,Phase 2,0.6236
BigBlock,Mainnet - Lighthouse,Max RAM GB per node,Phase 2,0.8442
BigBlock,Nethermind - Lighthouse,Max RAM GB per node,Phase 2,0.9375
BigBlock,Besu - Lighthouse,Max Spam Confirmed,Phase 1,151.00
BigBlock,Equalweight - Lighthouse,Max Spam Confirmed,Phase 1,171.00
BigBlock,Geth - Lighthouse,Max Spam Confirmed,Phase 1,151.00
BigBlock,Mainnet - Lighthouse,Max Spam Confirmed,Phase 1,171.00
BigBlock,Nethermind - Lighthouse,Max Spam Confirmed,Phase 1,151.00
BigBlock,Besu - Lighthouse,Max Spam Confirmed,Phase 2,346.00
BigBlock,Equalweight - Lighthouse,Max Spam Confirmed,Phase 2,319.00
BigBlock,Geth - Lighthouse,Max Spam Confirmed,Phase 2,284.00
BigBlock,Mainnet - Lighthouse,Max Spam Confirmed,Phase 2,352.00
BigBlock,Nethermind - Lighthouse,Max Spam Confirmed,Phase 2,276.00
BigBlock,Besu - Lighthouse,Max Spam Pending,Phase 1,34.00
BigBlock,Equalweight - Lighthouse,Max Spam Pending,Phase 1,58.00
BigBlock,Geth - Lighthouse,Max Spam Pending,Phase 1,60.00
BigBlock,Mainnet - Lighthouse,Max Spam Pending,Phase 1,64.00
BigBlock,Nethermind - Lighthouse,Max Spam Pending,Phase 1,24.00
BigBlock,Besu - Lighthouse,Max Spam Pending,Phase 2,250.00
